"time","latitude","longitude","name","number","status","available","total"
"2014-09-24 11:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 11:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 11:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 11:00:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 10:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 10:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 10:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 10:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 09:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 09:30:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 09:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 09:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 08:45:36 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 08:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 08:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 08:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 07:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 07:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 07:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 07:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 06:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 06:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 06:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 06:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 05:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 05:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 05:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 05:00:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 04:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 04:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 04:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 04:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 03:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 03:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 03:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 03:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 02:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 02:30:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 02:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 02:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 01:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 01:30:09 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 01:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 01:00:09 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",2,12
"2014-09-24 00:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-24 00:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-24 00:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-24 00:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 23:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 23:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 23:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 23:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 22:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 22:30:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 22:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 22:00:09 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 21:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",3,12
"2014-09-23 21:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 21:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 21:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 20:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 20:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 20:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 20:00:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 19:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 19:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 19:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 19:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 18:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 18:30:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",4,12
"2014-09-23 18:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",5,12
"2014-09-23 18:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",5,12
"2014-09-23 17:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 17:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 17:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 17:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 16:45:10 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 16:30:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 16:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",8,12
"2014-09-23 16:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",10,12
"2014-09-23 15:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",10,12
"2014-09-23 15:15:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 15:00:06 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 14:45:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 14:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 14:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 14:00:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 13:45:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",11,12
"2014-09-23 13:30:07 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",10,12
"2014-09-23 13:15:08 +0000",-13.00252,-38.507159,"Estação Adhemar de Barros (UFBA)",37,"EO",10,12
